Year,Health Expenditure Per Capita (USD PPP),"Doctors per 1,000","Hospital Beds per 1,000"
1990,3535.15,1.72,2.46
1991,3443.14,1.68,2.5
1992,3760.97,1.7,2.48
1993,3686.46,1.7,2.55
1994,3672.25,1.69,2.51
1995,3600.57,1.79,2.52
1996,3704.21,1.81,2.54
1997,3746.4,1.81,2.49
1998,3918.23,1.78,2.54
1999,3935.41,1.84,2.53
2000,4041.52,1.96,2.5
2001,3882.73,2.0,2.58
2002,3987.19,1.98,2.55
2003,3963.7,2.07,2.56
2004,4174.8,2.04,2.58
2005,4114.89,2.11,2.56
2006,4088.88,2.12,2.53
2007,4235.97,2.06,2.51
2008,4114.21,2.01,2.55
2009,4396.65,2.09,2.53
2010,4318.05,2.17,2.55
2011,4340.83,2.19,2.6
2012,4539.44,2.2,2.55
2013,4518.78,2.16,2.53
2014,4437.71,2.24,2.56
2015,4550.04,2.22,2.62
2016,4574.31,2.36,2.56
2017,4745.57,2.36,2.6
2018,4749.74,2.36,2.54
2019,4759.73,2.28,2.58
2020,4736.6,2.31,2.57
2021,4789.87,2.29,2.56
2022,4942.58,2.44,2.6
