Year,Country,Water Pollution
1990,Canada,50.993428306022466
1991,Canada,49.72347139765763
1992,Canada,51.29537707620138
1993,Canada,53.04605971281605
1994,Canada,49.53169325055333
1995,Canada,49.53172608610164
1996,Canada,48.15842563101478
1997,Canada,46.53486945830582
1998,Canada,44.0610512281301
1999,Canada,46.08512008717193
2000,Canada,44.073164614375074
2001,Canada,46.06854049285948
2002,Canada,47.48392454313207
2003,Canada,43.1734395106844
2004,Canada,43.550164334973935
2005,Canada,45.875424941518055
2006,Canada,44.97433775933115
2007,Canada,47.628494665190544
2008,Canada,45.18395184895758
2009,Canada,39.17539259732942
2010,Canada,44.93129753784311
2011,Canada,44.54844739902693
2012,Canada,45.13505640937585
2013,Canada,42.15050362757309
2014,Canada,43.91123455094964
2015,Canada,45.22184517941973
2016,Canada,38.273509633866546
2017,Canada,40.56354702751851
2018,Canada,39.09904196512179
2019,Canada,39.562459375310084
2020,Canada,39.097440081655904
2021,Canada,42.778417276763406
2022,Canada,39.9797541628931
