Year,Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
1990,27657204,9984670,0.3610151626317686,0.48,0.48
1991,27994614,9984670,0.3566639628095159,0.48,0.48
1992,28332024,9984670,0.35241640109869754,0.48,0.48
1993,28669434,9984670,0.34826881835370016,0.48,0.48
1994,29006844,9984670,0.34421772568288894,0.48,0.48
1995,29344254,9984670,0.34025979466042044,0.48,0.48
1996,29681664,9984670,0.33639184820566614,0.48,0.48
1997,30019074,9984670,0.33261085207771995,0.48,0.48
1998,30356484,9984670,0.32891390693713307,0.48,0.48
1999,30693894,9984670,0.32529824093122917,0.48,0.48
2000,31031304,9984670,0.32176120276314757,0.48,0.48
2001,31368715,9984670,0.31830025520819444,0.48,0.48
2002,31706125,9984670,0.31491296904417926,0.48,0.48
2003,32043535,9984670,0.31159701736522366,0.48,0.48
2004,32380945,9984670,0.3083501702510712,0.48,0.48
2005,32718355,9984670,0.3051702897662358,0.48,0.48
2006,33055765,9984670,0.30205532526542156,0.48,0.48
2007,33393175,9984670,0.2990033089835508,0.48,0.48
2008,33730585,9984670,0.2960123518904729,0.48,0.48
2009,34067995,9984670,0.2930806397920027,0.48,0.48
2010,34405405,9984670,0.29020642966037963,0.48,0.48
2011,34742815,9984670,0.2873880461785503,0.48,0.48
2012,35080226,9984670,0.2846238784838789,0.48,0.48
2013,35417636,9984670,0.2819123770979856,0.48,0.48
2014,35755046,9984670,0.2792520510304192,0.48,0.48
2015,36092456,9984670,0.27664146504478654,0.48,0.48
2016,36429866,9984670,0.27407923707680765,0.48,0.48
2017,36767276,9984670,0.2715640357945366,0.48,0.48
2018,37104686,9984670,0.26909457829169847,0.48,0.48
2019,37442096,9984670,0.26666962790574555,0.48,0.48
2020,37779506,9984670,0.2642879921528356,0.48,0.48
2021,38116916,9984670,0.2619485207724873,0.48,0.48
2022,38454327,9984670,0.2596501038751764,0.48,0.48
