Year,Country,Air Pollution
1990,India,191.79591966516057
1991,India,185.4461351233364
1992,India,193.30566351605518
1993,India,202.0590766991285
1994,India,184.48724438781488
1995,India,184.48740856555645
1996,India,202.62090629012218
1997,India,194.50312542657736
1998,India,182.13403427569872
1999,India,192.2543785709079
2000,India,182.19460120692364
2001,India,168.1566378556823
2002,India,173.81817405677265
2003,India,156.57623392698198
2004,India,158.0831332241401
2005,India,167.3841756503166
2006,India,163.77982692156897
2007,India,174.39645454500655
2008,India,164.61828328007468
2009,India,160.58404627356205
2010,India,183.6076660356168
2011,India,162.82889065543674
2012,India,164.88202219165794
2013,India,154.4360874553483
2014,India,160.5986456871662
2015,India,165.18578288681152
2016,India,136.23490349552515
2017,India,143.86836147436503
2018,India,138.98667793304264
2019,India,140.53140263367027
2020,India,138.9813383214897
2021,India,151.25126230518134
2022,India,141.922385258947
