Year,Health Expenditure Per Capita (USD PPP),"Doctors per 1,000","Hospital Beds per 1,000"
1990,34.7,0.56,0.83
1991,41.04,0.58,0.84
1992,34.76,0.47,0.8
1993,36.45,0.57,0.86
1994,37.12,0.63,0.86
1995,40.31,0.68,0.87
1996,49.29,0.6,0.87
1997,48.39,0.6,0.86
1998,43.8,0.72,0.86
1999,49.77,0.76,0.84
2000,51.81,0.69,0.91
2001,62.99,0.66,0.92
2002,65.5,0.85,0.85
2003,56.4,0.76,0.86
2004,75.58,0.81,0.89
2005,63.15,0.9,0.89
2006,79.53,0.89,0.95
2007,70.41,0.92,0.87
2008,65.04,0.84,0.86
2009,73.46,0.92,0.92
2010,81.44,0.98,0.89
2011,84.55,0.91,0.92
2012,83.74,0.92,0.96
2013,84.27,1.1,0.97
2014,88.56,1.03,0.93
2015,91.54,1.0,0.96
2016,83.49,1.17,0.96
2017,91.46,1.18,0.98
2018,91.09,1.12,0.95
2019,104.5,1.21,0.99
2020,100.03,1.09,1.04
2021,112.48,1.13,0.99
2022,102.98,1.24,1.04
